job_id,title,company,company_type,location,work_mode,date_posted,salary_listed,salary_k,description,skills_raw,skill_count
JOB01300,Data Engineer,Deloitte,consulting,"San Jose, CA",Remote,2025-09-17,$109K,109,"We are seeking a Data Engineer to join our Digital Transformation team in San Jose, CA. The ideal candidate will leverage Python and SQL to deliver actionable insights. Responsibilities include designing Tableau pipelines, collaborating with stakeholders, and presenting findings to senior leadership. Experience with Power BI is a strong plus. Knowledge of AWS and modern Communication tools preferred. Familiarity with Machine Learning and ability to communicate complex data clearly is essential.",Python|SQL|Tableau|Power BI|AWS|Agile / Scrum|Business Analysis,7
JOB00159,Data Analyst,Palo Alto Networks,tech,"Fremont, CA",On-site,2025-09-17,$91K,91,"We are seeking a Data Analyst to join our Analytics team in Fremont, CA. The ideal candidate will leverage Python and Tableau to deliver actionable insights. Responsibilities include designing Machine Learning pipelines, collaborating with stakeholders, and presenting findings to senior leadership. Experience with AWS is a strong plus. Knowledge of Salesforce CRM and modern Excel tools preferred. Familiarity with Data Visualization and ability to communicate complex data clearly is essential.",Python|Tableau|Machine Learning|AWS|Salesforce CRM|ETL / Data Pipeline|Statistics|Communication,8
JOB02987,Data Engineer,JPMorgan,finance,"Redwood City, CA",On-site,2025-09-17,,126,"As a Data Engineer at JPMorgan, you will analyze large datasets using Python and SQL. You'll build dashboards in Tableau and work closely with cross-functional teams. Must be comfortable with Excel, AWS, and have experience in LLM / GenAI. A background in R or similar analytical tools is beneficial.",Python|SQL|Tableau|Excel|AWS|Azure|R|ETL / Data Pipeline|Communication,9
JOB01213,Machine Learning Engineer,Meta,tech,"Mountain View, CA",Hybrid,2025-09-17,$132K,132,"Join Meta's data team as a Machine Learning Engineer. You will use Python, Tableau, and Excel to extract insights from complex datasets. This role requires strong AWS skills and familiarity with Agile / Scrum. Bonus: experience with Machine Learning and Excel.",Python|Tableau|Excel|AWS|Agile / Scrum|Salesforce CRM|Business Analysis|Data Visualization|Communication,9
JOB02936,IT Consultant,JPMorgan,finance,Remote (Bay Area),On-site,2025-09-17,,89,"We are seeking a IT Consultant to join our Digital Transformation team in Remote (Bay Area). The ideal candidate will leverage Python and Tableau to deliver actionable insights. Responsibilities include designing Excel pipelines, collaborating with stakeholders, and presenting findings to senior leadership. Experience with Agile / Scrum is a strong plus. Knowledge of Salesforce CRM and modern R tools preferred. Familiarity with Machine Learning and ability to communicate complex data clearly is essential.",Python|Tableau|Excel|Agile / Scrum|Salesforce CRM|ETL / Data Pipeline|Communication,7
JOB00410,Data Engineer,Apple,tech,"Santa Clara, CA",Hybrid,2025-09-17,$124K,124,"As a Data Engineer at Apple, you will analyze large datasets using Python and SQL. You'll build dashboards in Excel and work closely with cross-functional teams. Must be comfortable with Machine Learning, Agile / Scrum, and have experience in Statistics. A background in Tableau or similar analytical tools is beneficial.",Python|SQL|Excel|Machine Learning|Agile / Scrum|Data Visualization,6
JOB01194,Business Intelligence Analyst,Palo Alto Networks,tech,"Sunnyvale, CA",On-site,2025-09-17,$105K,105,"We are seeking a Business Intelligence Analyst to join our Operations team in Sunnyvale, CA. The ideal candidate will leverage SQL and Power BI to deliver actionable insights. Responsibilities include designing AWS pipelines, collaborating with stakeholders, and presenting findings to senior leadership. Experience with Google Cloud is a strong plus. Knowledge of Snowflake and modern Tableau tools preferred. Familiarity with LLM / GenAI and ability to communicate complex data clearly is essential.",SQL|Power BI|AWS|Google Cloud|Snowflake|Agile / Scrum|Business Analysis|Data Visualization|Communication,9
JOB01054,Data Engineer,Oracle,tech,"Palo Alto, CA",Hybrid,2025-09-17,$119K,119,"As a Data Engineer at Oracle, you will analyze large datasets using Python and SQL. You'll build dashboards in Power BI and work closely with cross-functional teams. Must be comfortable with Excel, AWS, and have experience in Statistics. A background in ETL / Data Pipeline or similar analytical tools is beneficial.",Python|SQL|Power BI|Excel|AWS|R|Agile / Scrum,7
JOB01365,IT Consultant,Oracle,tech,"Redwood City, CA",On-site,2025-09-17,$96K,96,"Join Oracle's data team as a IT Consultant. You will use Power BI, Excel, and Google Cloud to extract insights from complex datasets. This role requires strong R skills and familiarity with Business Analysis. Bonus: experience with AWS and Tableau.",Power BI|Excel|Google Cloud|R|Business Analysis|Data Visualization,6
JOB00480,Data Analyst,PwC,consulting,"Mountain View, CA",Remote,2025-09-17,$55K,55,"Join PwC's data team as a Data Analyst. You will use Python, SQL, and Machine Learning to extract insights from complex datasets. This role requires strong LLM / GenAI skills and familiarity with AWS. Bonus: experience with dbt and Tableau.",Python|SQL|Machine Learning|LLM / GenAI|AWS|Snowflake|Data Visualization|ETL / Data Pipeline|Statistics,9
